scope,input,n,algo,millis,compares,moves,extraBytes,maxDepth,sorted,stable
kinds,random,4000,insertionSort,11.026,3950647,3950655,8,1,1,1
kinds,random,4000,bubbleSort,29.563,7997922,11828007,8,1,1,1
kinds,random,4000,blockSort,0.697,115971,352201,8,16,1,1
kinds,sorted,4000,insertionSort,0.004,3999,0,8,1,1,1
kinds,sorted,4000,bubbleSort,0.005,3999,0,8,1,1,1
kinds,sorted,4000,blockSort,0.005,3999,0,8,1,1,1
kinds,reversed,4000,insertionSort,20.816,8001999,8005998,8,1,1,1
kinds,reversed,4000,bubbleSort,30.629,7998000,23994000,8,1,1,1
kinds,reversed,4000,blockSort,0.53,133851,311166,8,24,1,1
kinds,few-unique,4000,insertionSort,9.037,3575497,3575032,8,1,1,1
kinds,few-unique,4000,bubbleSort,27.812,7867695,10703898,8,1,1,1
kinds,few-unique,4000,blockSort,0.449,74499,238678,8,21,1,1
growth,random,1000,insertionSort,0.669,255273,255280,8,1,1,1
growth,random,1000,bubbleSort,1.782,499094,759870,8,1,1,1
growth,random,1000,blockSort,0.143,18762,57300,8,14,1,1
growth,random,2000,insertionSort,2.823,998714,998721,8,1,1,1
growth,random,2000,bubbleSort,7.329,1998945,2984199,8,1,1,1
growth,random,2000,blockSort,0.346,45915,146667,8,15,1,1
growth,random,4000,insertionSort,11.139,3950647,3950655,8,1,1,1
growth,random,4000,bubbleSort,30.318,7997922,11828007,8,1,1,1
growth,random,4000,blockSort,0.832,115971,352201,8,16,1,1
growth,random,8000,insertionSort,42.68,15966683,15966691,8,1,1,1
growth,random,8000,bubbleSort,120.978,31982470,47852121,8,1,1,1
growth,random,8000,blockSort,1.791,289630,879919,8,17,1,1
