n,block,compares,moves,millis,sorted,stable
1000,2,15944,61506,0.163,1,1
1000,4,15766,60994,0.148,1,1
1000,8,15652,59754,0.143,1,1
1000,16,16141,58278,0.128,1,1
1000,24,17296,59922,0.142,1,1
1000,32,18762,57300,0.141,1,1
1000,48,21579,59926,0.202,1,1
1000,64,24635,58550,0.141,1,1
1000,96,31908,64796,0.149,1,1
1000,128,39019,66670,0.163,1,1
1000,192,52129,78472,0.193,1,1
1000,256,69889,89844,0.242,1,1
1000,512,131962,142760,0.387,1,1
4000,2,79449,363789,0.814,1,1
4000,4,78821,361679,0.782,1,1
4000,8,78583,356691,0.774,1,1
4000,16,81096,350511,0.757,1,1
4000,24,84820,360489,0.787,1,1
4000,32,91071,346417,0.771,1,1
4000,48,101519,360853,0.798,1,1
4000,64,115971,352201,0.714,1,1
4000,96,142269,379269,0.801,1,1
4000,128,173183,384541,0.849,1,1
4000,192,226629,435893,0.985,1,1
4000,256,292811,473425,1.045,1,1
4000,512,537949,682189,1.558,1,1
4000,1024,1033289,1135297,2.966,1,1
16000,2,379694,2029149,4.181,1,1
16000,4,377156,2020707,4.002,1,1
16000,8,376247,2000823,4.217,1,1
16000,16,386459,1975843,3.925,1,1
16000,24,402430,2025101,3.935,1,1
16000,32,426120,1959995,3.762,1,1
16000,48,471069,2027281,3.94,1,1
16000,64,525034,1982369,3.916,1,1
16000,96,634152,2101153,4.113,1,1
16000,128,750054,2107931,4.249,1,1
16000,192,978752,2334245,4.765,1,1
16000,256,1233135,2468207,5.415,1,1
16000,512,2214505,3303705,7.917,1,1
16000,1024,4182405,5101987,12.453,1,1
64000,2,1770361,10776072,19.805,1,1
64000,4,1759799,10741546,19.793,1,1
64000,8,1756430,10660864,19.645,1,1
64000,16,1797877,10559840,19.094,1,1
64000,24,1865138,10826760,19.511,1,1
64000,32,1953003,10493768,19.185,1,1
64000,48,2140801,10834044,19.885,1,1
64000,64,2353442,10587240,19.689,1,1
64000,96,2788281,11122394,20.665,1,1
64000,128,3258819,11092978,21.359,1,1
64000,192,4197539,12080898,23.25,1,1
64000,256,5185576,12526992,25.108,1,1
64000,512,9137682,15890670,33.759,1,1
64000,1024,17096623,23173522,52.575,1,1
