scope,input,n,algo,millis,compares,moves,extraBytes,maxDepth,sorted,stable
kinds,random,4000,insertionSort,10.852,3950647,3950655,8,1,1,1
kinds,random,4000,bubbleSort,28.344,7997922,11828007,8,1,1,1
kinds,random,4000,blockSort,0.674,91071,346417,8,16,1,1
kinds,sorted,4000,insertionSort,0.003,3999,0,8,1,1,1
kinds,sorted,4000,bubbleSort,0.005,3999,0,8,1,1,1
kinds,sorted,4000,blockSort,0.004,3999,0,8,1,1,1
kinds,reversed,4000,insertionSort,20.764,8001999,8005998,8,1,1,1
kinds,reversed,4000,bubbleSort,29.902,7998000,23994000,8,1,1,1
kinds,reversed,4000,blockSort,0.433,72905,276198,8,24,1,1
kinds,few-unique,4000,insertionSort,9.273,3575497,3575032,8,1,1,1
kinds,few-unique,4000,bubbleSort,27.483,7867695,10703898,8,1,1,1
kinds,few-unique,4000,blockSort,0.394,52381,233568,8,21,1,1
growth,random,1000,insertionSort,0.674,255273,255280,8,1,1,1
growth,random,1000,bubbleSort,1.751,499094,759870,8,1,1,1
growth,random,1000,blockSort,0.136,18762,57300,8,14,1,1
growth,random,2000,insertionSort,2.802,998714,998721,8,1,1,1
growth,random,2000,bubbleSort,6.815,1998945,2984199,8,1,1,1
growth,random,2000,blockSort,0.327,41487,142551,8,15,1,1
growth,random,4000,insertionSort,10.694,3950647,3950655,8,1,1,1
growth,random,4000,bubbleSort,29.407,7997922,11828007,8,1,1,1
growth,random,4000,blockSort,0.731,91071,346417,8,16,1,1
growth,random,8000,insertionSort,44.282,15966683,15966691,8,1,1,1
growth,random,8000,bubbleSort,125.844,31982470,47852121,8,1,1,1
growth,random,8000,blockSort,1.691,197670,830075,8,18,1,1
